CNPJ,NOME INSTITUIÇÃO,SEGMENTO,ENDEREÇO,COMPLEMENTO,BAIRRO,CEP,MUNICÍPIO,UF,DDD,FONE,CART COMERCIAL,ENDEREÇO ELETRÔNICO,SÍTIO NA INTERNET
00.000.000,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,Banco do Brasil - Banco Múltiplo                            ,SAUN QUADRA 5 LOTE B                              ,EDIFÍCIO BANCO DO BRASIL - 15º ANDAR              ,SETOR DE AUTARQUIAS ,70040-250,BRASILIA                                                    ,DF,61,3102 20 00,Sim,SECEX@BB.COM.BR                                             ,WWW.BB.COM.BR                                               
00.000.208,BRB - BANCO DE BRASILIA S.A.                                                                                                                                                                            ,Banco Múltiplo                                              ,"SBS, QUADRA 01, BL E, EDIFICIO BRASILIA           ",                                                  ,ASA SUL             ,70072-900,BRASILIA                                                    ,DF,61,3412 82 82,Sim,COMPLIANCE@BRB.COM.BR                                       ,WWW.BRB.COM.BR                                              
00.253.448,BANCO NEON S.A.                                                                                                                                                                                         ,Banco Comercial                                             ,"AV. RAJA GABAGLIA, 1.143                          ",17° ANDAR                                         ,LUXEMBURGO          ,30380-403,BELO HORIZONTE                                              ,MG,31,2121 85 00,Sim,DOUGLAS.GODINHO@BANCONEON.COM.BR                            ,WWW.BANCONEON.COM.BR                                        
00.360.305,CAIXA ECONOMICA FEDERAL                                                                                                                                                                                 ,Caixa Econômica Federal                                     ,"SBS QUADRA 4, LOTES 3/4, ED. SEDE                 ",21 ANDAR                                          ,ASA SUL             ,70092-900,BRASILIA                                                    ,DF,61,3206 90 00,Sim,SEGER@CAIXA.GOV.BR                                          ,WWW.CAIXA.GOV.BR                                            
00.416.968,BANCO INTER S.A.                                                                                                                                                                                        ,Banco Múltiplo                                              ,AV. CONTORNO                                      ,7.777,LOURDES             ,30110-051,BELO HORIZONTE                                              ,MG,31,2101 70 00,Sim,CONTABIL@INTERMEDIUM.COM.BR                                 ,WWW.INTERMEDIUM.COM.BR                                      
00.517.645,BANCO RIBEIRAO PRETO S.A.                                                                                                                                                                               ,Banco Múltiplo                                              ,AVENIDA PRESIDENTE VARGAS Nº 2121                 ,4º ANDAR                                          ,JARDIM AMERICA      ,14020-260,RIBEIRAO PRETO                                              ,SP,16,2101 46 00,Sim,BACKOFFICE@BRP.COM.BR                                       ,WWW.BRP.COM.BR                                              
00.558.456,BANCO CETELEM S.A.                                                                                                                                                                                      ,Banco Múltiplo                                              ,"ALAMEDA RIO NEGRO, 161                            ",17º ANDAR                                         ,ALPHAVILLE          ,06454-000,BARUERI                                                     ,SP,11,2147 45 00,Sim,JURIDICOREGULATORIO@CETELEM.COM.BR                          ,WWW.CETELEM.COM.BR                                          
00.795.423,BANCO SEMEAR S.A.                                                                                                                                                                                       ,Banco Múltiplo                                              ,"AVENIDA AFONSO PENA, Nº3.577                      ",3ºANDAR                                           ,SERRA               ,30130-008,BELO HORIZONTE                                              ,MG,31,3516 80 00,Sim,INSTITUCIONAL.BCB@BANCOSEMEAR.COM.BR                        ,WWW.BANCOSEMEAR.COM.BR                                      
00.997.185,BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.                                                                                                                                             ,Banco Comercial                                             ,"RUA LÍBERO BADARÓ, 471                            ",4º ANDAR                                          ,CENTRO              ,01009-000,SAO PAULO                                                   ,SP,11,2565 40 00,Sim,BANCOBVMF@BVMF.COM.BR                                       ,HTTP://WWW.BMFBOVESPA.COM.BR/                               
01.023.570,BANCO RABOBANK INTERNATIONAL BRASIL S.A.                                                                                                                                                                ,Banco Múltiplo                                              ,"AV. NACOES UNIDAS, 12995 - 7º ANDAR               ",                                                  ,BROOKLIN NOVO       ,04578-000,SAO PAULO                                                   ,SP,11,5503 70 00,Sim,SAOJUD@RABOBANK.COM                                         ,WWW.RABOBANK.COM.BR                                         
